"Title","Sub Title","Authors/Editors","Edition Number","Volume Number","Part Number","Publisher","DOI","Online Publication date","Online ISBN","PB ISBN","PB Publication date","HB ISBN","HB Publication date","Series","Main subject","Sub subject","URL"
"Analysis in Integer and Fractional Dimensions","","Ron Blei, University of Connecticut","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511543012","13-08-2009","9780511543012","","","9780521650847","19-07-2001","Cambridge Studies in Advanced Mathematics","Abstract analysis","","https://www.cambridge.org/core/books/analysis-in-integer-and-fractional-dimensions/FE971FEA437A1F85F2E0B185D37E20ED"
"Analysis on Lie Groups","An Introduction","Jacques Faraut, Universite de Paris VI (Pierre et Marie Curie)","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511755170","29-05-2010","9780511755170","","","9780521719308","22-05-2008","Cambridge Studies in Advanced Mathematics","Abstract analysis","Algebra","https://www.cambridge.org/core/books/analysis-on-lie-groups/8E34C57AFA7E0FBCDD38B9D2106C71BF"
"Analytic Combinatorics in Several Variables","","Robin Pemantle, University of Pennsylvania; Mark C. Wilson, University of Auckland","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781139381864","05-07-2013","9781139381864","","","9781107031579","08-08-2013","Cambridge Studies in Advanced Mathematics","Discrete mathematics, information theory and coding theory","","https://www.cambridge.org/core/books/analytic-combinatorics-in-several-variables/7FD6C5820465ECC25FBDF42236BFAEB2"
"Analytic Pro-P Groups","","J. D. Dixon, Carleton University, Ottawa; M. P. F. Du Sautoy, University of Cambridge; A. Mann, Hebrew University of Jerusalem; D. Segal, University of Oxford","2","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511470882","03-12-2009","9780511470882","9780521542180","18-09-2003","","","Cambridge Studies in Advanced Mathematics","Algebra","","https://www.cambridge.org/core/books/analytic-prop-groups/FC96FCA4B4EF667EC6F035513E11DB32"
"Association Schemes","Designed Experiments, Algebra and Combinatorics","R. A. Bailey, Queen Mary University of London","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511610882","16-11-2009","9780511610882","9780521188012","03-03-2011","9780521824460","26-02-2004","Cambridge Studies in Advanced Mathematics","Discrete mathematics, information theory and coding theory","Statistical theory and methods","https://www.cambridge.org/core/books/association-schemes/53BF9F1943AE2287500AFB545B87CA94"
"Automorphic Forms and L-Functions for the Group GL(n,R)","","Dorian Goldfeld, Columbia University, New York","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511542923","22-08-2009","9780511542923","9781107565029","26-11-2015","9780521837712","03-08-2006","Cambridge Studies in Advanced Mathematics","Number theory","Discrete mathematics, information theory and coding theory","https://www.cambridge.org/core/books/automorphic-forms-and-lfunctions-for-the-group-glnr/C60CBD7E879EFE61AD406D271B44535C"
"Automorphic Forms and Representations","","Daniel Bump, Stanford University, California","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511609572","15-12-2009","9780511609572","9780521658188","11-03-1999","","","Cambridge Studies in Advanced Mathematics","Number theory","Algebra","https://www.cambridge.org/core/books/automorphic-forms-and-representations/F46424A2D9646FE32D9B792BC5E0238A"
"Automorphic Representations and L-Functions for the General Linear Group","","Dorian Goldfeld, Columbia University, New York; Joseph Hundley, Southern Illinois University, Carbondale","1","2","","Cambridge University Press","https://doi.org/10.1017/CBO9780511910531","05-06-2012","9780511910531","","","9781107007994","21-04-2011","Cambridge Studies in Advanced Mathematics","Number theory","","https://www.cambridge.org/core/books/automorphic-representations-and-lfunctions-for-the-general-linear-group/F87D3F86049B190AA4D18A15BA3A45D0"
"Automorphic Representations and L-Functions for the General Linear Group","","Dorian Goldfeld, Columbia University, New York; Joseph Hundley, Southern Illinois University, Carbondale","1","1","","Cambridge University Press","https://doi.org/10.1017/CBO9780511973628","16-05-2011","9780511973628","","","9780521474238","21-04-2011","Cambridge Studies in Advanced Mathematics","Number theory","","https://www.cambridge.org/core/books/automorphic-representations-and-lfunctions-for-the-general-linear-group/DDD46C3820DEFB2A307F849289E87661"
"Banach Spaces for Analysts","","P. Wojtaszczyk","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511608735","03-05-2010","9780511608735","9780521566759","01-08-1996","","","Cambridge Studies in Advanced Mathematics","Abstract analysis","","https://www.cambridge.org/core/books/banach-spaces-for-analysts/7647AD5BB01A5ABBC96789F74DDE8A2F"
"Basic Category Theory","","Tom Leinster, University of Edinburgh","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781107360068","05-08-2014","9781107360068","","","9781107044241","24-07-2014","Cambridge Studies in Advanced Mathematics","Logic, categories and sets","Programming languages and applied logic","https://www.cambridge.org/core/books/basic-category-theory/A72533879BBC7BD956CC415777B7DA99"
"Cellular Structures in Topology","","Rudolf Fritsch, Ludwig-Maximilians-Universitat Munchen; Renzo Piccinini, Memorial University of Newfoundland","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511983948","05-11-2011","9780511983948","9780521063876","05-06-2008","9780521327848","27-09-1990","Cambridge Studies in Advanced Mathematics","Topology and geometry","","https://www.cambridge.org/core/books/cellular-structures-in-topology/C23C9D5E0DAA7DAA0BF8E5B7C80FB993"
"Central Simple Algebras and Galois Cohomology","","Philippe Gille, Centre National de la Recherche Scientifique (CNRS), Paris; Tamás Szamuely, Hungarian Academy of Sciences, Budapest","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511607219","09-11-2009","9780511607219","","","","","Cambridge Studies in Advanced Mathematics","Topology and geometry","Algebra","https://www.cambridge.org/core/books/central-simple-algebras-and-galois-cohomology/B4A8F430A0D6C5A59722BD48AEF94C05"
"Central Simple Algebras and Galois Cohomology","","Philippe Gille; Tamás Szamuely","2","","","Cambridge University Press","https://doi.org/10.1017/9781316661277","07-08-2017","9781316661277","9781316609880","10-08-2017","9781107156371","10-08-2017","Cambridge Studies in Advanced Mathematics","Algebra","Topology and geometry","https://www.cambridge.org/core/books/central-simple-algebras-and-galois-cohomology/CD3D09C000228AA0AC5726BED8C328C4"
"Character Theory and the McKay Conjecture","","Gabriel Navarro, Universitat de Valencia, Spain","1","","","Cambridge University Press","","30-04-2018","9781108552790","","","9781108428446","26-04-2018","Cambridge Studies in Advanced Mathematics","Algebra","","https://www.cambridge.org/core/books/character-theory-and-the-mckay-conjecture/4F8462A44F0DC4C6F53EDA5D172CDB6C"
