"Title","Sub Title","Authors/Editors","Edition Number","Volume Number","Part Number","Publisher","DOI","Online Publication date","Online ISBN","PB ISBN","PB Publication date","HB ISBN","HB Publication date","Series","Main subject","Sub subject","URL"
"Geometry and Complexity Theory","","J. M. Landsberg, Texas A &amp; M University","1","","","Cambridge University Press","https://doi.org/10.1017/9781108183192","03-10-2017","9781108183192","","","9781107199231","28-09-2017","Cambridge Studies in Advanced Mathematics","Algorithmics, complexity, computer algebra and computational geometry","Topology and geometry","https://www.cambridge.org/core/books/geometry-and-complexity-theory/15E3ABA3FF14E1054574663F60250D80"
"Geometry of Sets and Measures in Euclidean Spaces","Fractals and Rectifiability","Pertti Mattila, University of Jyvaskyla, Finland","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511623813","05-08-2012","9780511623813","9780521655958","25-02-1999","","","Cambridge Studies in Advanced Mathematics","Abstract analysis","","https://www.cambridge.org/core/books/geometry-of-sets-and-measures-in-euclidean-spaces/3E3DDE579ABAEEC863B8964D68DCC72F"
"Global Methods for Combinatorial Isoperimetric Problems","","L. H. Harper, University of California, Riverside","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511616679","18-02-2010","9780511616679","9780521183833","16-12-2010","9780521832687","25-03-2004","Cambridge Studies in Advanced Mathematics","Discrete mathematics, information theory and coding theory","Optimization, OR and risk","https://www.cambridge.org/core/books/global-methods-for-combinatorial-isoperimetric-problems/FA0D2E588330EBC2ACD614C4892D9922"
"Groups as Galois Groups","An Introduction","Helmut Volklein","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511471117","22-09-2009","9780511471117","9780521065030","12-06-2008","9780521562805","17-10-1996","Cambridge Studies in Advanced Mathematics","Algebra","Number theory","https://www.cambridge.org/core/books/groups-as-galois-groups/A2233CBEE2CD250DDE2B867502C0A4DE"
"Harmonic Analysis on Finite Groups","Representation Theory, Gelfand Pairs and Markov Chains","Tullio Ceccherini-Silberstein; Fabio Scarabotti, Universita degli Studi di Roma 'La Sapienza', Italy; Filippo Tolli, Universita degli Studi Roma Tre","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511619823","28-12-2009","9780511619823","","","9780521883368","06-03-2008","Cambridge Studies in Advanced Mathematics","Abstract analysis","Algebra","https://www.cambridge.org/core/books/harmonic-analysis-on-finite-groups/093299951BEB7852105CCFFCA7DA5CD9"
"Hodge Theory and Complex Algebraic Geometry I","","Claire Voisin, Centre de Mathematiques de Jussieu, Paris; Leila Schneps","1","1","","Cambridge University Press","https://doi.org/10.1017/CBO9780511615344","21-01-2010","9780511615344","9780521718011","20-12-2007","9780521802604","05-12-2002","Cambridge Studies in Advanced Mathematics","Topology and geometry","Algebra","https://www.cambridge.org/core/books/hodge-theory-and-complex-algebraic-geometry-i/A6E52939BA107FFCB5A901D5B5D88025"
"Hodge Theory and Complex Algebraic Geometry II","","Claire Voisin, Universite de Paris VI (Pierre et Marie Curie); Leila Schneps","1","2","","Cambridge University Press","https://doi.org/10.1017/CBO9780511615177","21-12-2009","9780511615177","9780521718028","20-12-2007","9780521802833","03-07-2003","Cambridge Studies in Advanced Mathematics","Topology and geometry","","https://www.cambridge.org/core/books/hodge-theory-and-complex-algebraic-geometry-ii/47F0D9D694725A426F9CAFDFA830DB11"
"Introduction to Banach Spaces: Analysis and Probability","","Daniel Li; Herve Queffelec, Universite de Lille I; Daniele Gibbons; Greg Gibbons","1","2","","Cambridge University Press","https://doi.org/10.1017/9781316677391","26-10-2017","9781316677391","","","9781107162624","21-12-2017","Cambridge Studies in Advanced Mathematics","Abstract analysis","Probability theory and stochastic processes","https://www.cambridge.org/core/books/introduction-to-banach-spaces-analysis-and-probability/46D48269F969BBA0AF2DEB7782A96DAE"
"Introduction to Banach Spaces: Analysis and Probability","","Daniel Li; Herve Queffelec, Universite de Lille I; Daniele Gibbons; Greg Gibbons","1","1","","Cambridge University Press","https://doi.org/10.1017/CBO9781316675762","26-10-2017","9781316675762","","","9781107160514","21-12-2017","Cambridge Studies in Advanced Mathematics","Abstract analysis","Probability theory and stochastic processes","https://www.cambridge.org/core/books/introduction-to-banach-spaces-analysis-and-probability/90C0F7A1C24D8C66AA55D2618BEA1E1A"
"Introduction to Foliations and Lie Groupoids","","I. Moerdijk, Universiteit Utrecht, The Netherlands; J. Mrcun, University of Ljubljana","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511615450","02-02-2010","9780511615450","","","9780521831970","18-09-2003","Cambridge Studies in Advanced Mathematics","Topology and geometry","Algebra","https://www.cambridge.org/core/books/introduction-to-foliations-and-lie-groupoids/75BBFED277FF39A56594731202789016"
"Introduction to Model Spaces and their Operators","","Stephan Ramon Garcia, Pomona College, California; Javad Mashreghi, Universite Laval, Quebec; William T. Ross, University of Richmond, Virginia","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781316258231","05-05-2016","9781316258231","","","9781107108745","26-05-2016","Cambridge Studies in Advanced Mathematics","Abstract analysis","","https://www.cambridge.org/core/books/introduction-to-model-spaces-and-their-operators/A890E26AEB14B13177760F6C76B44E42"
"Introductory Lectures on Siegel Modular Forms","","Helmut Klingen, Albert-Ludwigs-Universitat Freiburg, Germany","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511619878","01-12-2009","9780511619878","9780521062091","15-05-2008","9780521350525","01-03-1990","Cambridge Studies in Advanced Mathematics","Algebra","Number theory","https://www.cambridge.org/core/books/introductory-lectures-on-siegel-modular-forms/B20895BD1982A4D4BDD63BBC1D7C16C8"
"Lectures in Logic and Set Theory","","George Tourlakis, York University, Toronto","1","2","","Cambridge University Press","https://doi.org/10.1017/CBO9780511615566","12-01-2010","9780511615566","9780521168489","22-09-2011","9780521753746","13-02-2003","Cambridge Studies in Advanced Mathematics","Logic, categories and sets","Algorithmics, complexity, computer algebra and computational geometry","https://www.cambridge.org/core/books/lectures-in-logic-and-set-theory/BCD43B2B5F313A2BACC7EE044055EDFE"
"Lectures in Logic and Set Theory","","George Tourlakis, York University, Toronto","1","1","","Cambridge University Press","https://doi.org/10.1017/CBO9780511615559","16-01-2010","9780511615559","9780521168465","09-09-2010","9780521753739","09-01-2003","Cambridge Studies in Advanced Mathematics","Logic, categories and sets","Algorithmics, complexity, computer algebra and computational geometry","https://www.cambridge.org/core/books/lectures-in-logic-and-set-theory/C08ABDE5D2BE679676618B0093E47BA1"
"Lectures on Arakelov Geometry","","C. Soule, Centre National de la Recherche Scientifique (CNRS), Paris; D. Abramovich, Princeton University, New Jersey; J. F. Burnol, Max-Planck-Institut fur Mathematik in den Naturwissenschaften, Leipzig; J. K. Kramer","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511623950","14-01-2010","9780511623950","9780521477093","15-09-1994","","","Cambridge Studies in Advanced Mathematics","Topology and geometry","Number theory","https://www.cambridge.org/core/books/lectures-on-arakelov-geometry/32606AB12804B192D2C2D245D491F4DE"
"Lectures on K3 Surfaces","","Daniel Huybrechts","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781316594193","13-10-2016","9781316594193","","","9781107153042","06-10-2016","Cambridge Studies in Advanced Mathematics","Topology and geometry","Mathematical physics","https://www.cambridge.org/core/books/lectures-on-k3-surfaces/BD0A22FFFAF3681F91257C7BFD048C65"
"Lectures on Lyapunov Exponents","","Marcelo Viana, IMPA, Rio de Janeiro","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781139976602","05-07-2014","9781139976602","","","9781107081734","24-07-2014","Cambridge Studies in Advanced Mathematics","Differential and integral equations, dynamical systems and control","Abstract analysis","https://www.cambridge.org/core/books/lectures-on-lyapunov-exponents/42E4EAB1756EA3248148F48E2CD89813"
"Levy Processes and Stochastic Calculus","","David Applebaum, Nottingham Trent University","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511755323","06-07-2010","9780511755323","","","","","Cambridge Studies in Advanced Mathematics","Probability theory and stochastic processes","Mathematical finance","https://www.cambridge.org/core/books/levy-processes-and-stochastic-calculus/59B105C1B5B54D562AA096D7AE24F4D5"
"Levy Processes and Stochastic Calculus","","David Applebaum, University of Sheffield","2","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511809781","25-01-2011","9780511809781","9780521738651","30-04-2009","","","Cambridge Studies in Advanced Mathematics","Probability theory and stochastic processes","Mathematical finance","https://www.cambridge.org/core/books/levy-processes-and-stochastic-calculus/4AC698D37D3D8E57D099B73ADF4ACB11"
"Lie Algebras of Finite and Affine Type","","Roger Carter, University of Warwick","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511614910","25-01-2010","9780511614910","","","9780521851381","27-10-2005","Cambridge Studies in Advanced Mathematics","Algebra","","https://www.cambridge.org/core/books/lie-algebras-of-finite-and-affine-type/4E6820728C16DC1F812860C974FBB4F6"
"Linear Algebraic Groups and Finite Groups of Lie Type","","Gunter Malle, Technische Universitat Kaiserslautern, Germany; Donna Testerman, ecole Polytechnique Federale de Lausanne","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511994777","05-06-2012","9780511994777","","","9781107008540","08-09-2011","Cambridge Studies in Advanced Mathematics","Algebra","","https://www.cambridge.org/core/books/linear-algebraic-groups-and-finite-groups-of-lie-type/DF7451BDFAB4ED163BB88268EF7490BD"
"Linear Operators and their Spectra","","E. Brian Davies, King's College London","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511618864","08-01-2010","9780511618864","","","9780521866293","26-04-2007","Cambridge Studies in Advanced Mathematics","Abstract analysis","","https://www.cambridge.org/core/books/linear-operators-and-their-spectra/6DDA33D1D7032F9EBB41194F33C18A69"
"Local Cohomology","An Algebraic Introduction with Geometric Applications","M. P. Brodmann, Universitat Zurich; R. Y. Sharp, University of Sheffield","2","","","Cambridge University Press","https://doi.org/10.1017/CBO9781139044059","05-12-2012","9781139044059","","","9780521513630","15-11-2012","Cambridge Studies in Advanced Mathematics","Algebra","","https://www.cambridge.org/core/books/local-cohomology/58A833CCD2D0F834644781AFB1351657"
"Local Cohomology","An Algebraic Introduction with Geometric Applications","M. P. Brodmann, Universitat Zurich; R. Y. Sharp, University of Sheffield","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511629204","04-05-2010","9780511629204","","","","","Cambridge Studies in Advanced Mathematics","Algebra","Topology and geometry","https://www.cambridge.org/core/books/local-cohomology/38D0015D6B6908D9CB9792A6276B9E60"
"Local Representation Theory","Modular Representations as an Introduction to the Local Representation Theory of Finite Groups","J. L. Alperin, University of Chicago","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511623592","12-01-2010","9780511623592","9780521449267","28-10-1993","","","Cambridge Studies in Advanced Mathematics","Algebra","","https://www.cambridge.org/core/books/local-representation-theory/A57DAE273A83DB4B43162D3FE9724497"
"Locally Convex Spaces over Non-Archimedean Valued Fields","","C. Perez-Garcia, Universidad de Cantabria, Spain; W. H. Schikhof, Radboud Universiteit Nijmegen","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511729959","06-07-2010","9780511729959","","","9780521192439","07-01-2010","Cambridge Studies in Advanced Mathematics","Abstract analysis","","https://www.cambridge.org/core/books/locally-convex-spaces-over-nonarchimedean-valued-fields/9778489A1798DE9E79A2E74F99B35859"
"The Logarithmic Integral","","Paul Koosis, McGill University, Montreal","1","2","","Cambridge University Press","https://doi.org/10.1017/CBO9780511566202","07-01-2010","9780511566202","9780521102544","12-03-2009","9780521309073","20-08-1992","Cambridge Studies in Advanced Mathematics","Abstract analysis","","https://www.cambridge.org/core/books/logarithmic-integral/D6129B14C4D85BCBE795114F27ABE274"
"The Logarithmic Integral","","Paul Koosis, McGill University, Montreal","1","1","","Cambridge University Press","https://doi.org/10.1017/CBO9780511566196","08-01-2010","9780511566196","9780521596725","29-10-1998","","","Cambridge Studies in Advanced Mathematics","Abstract analysis","","https://www.cambridge.org/core/books/logarithmic-integral/215EB59CBF4A5BE30BC074BDE68679AA"
"Markov Processes, Gaussian Processes, and Local Times","","Michael B. Marcus, City University of New York; Jay Rosen, City University of New York","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511617997","24-02-2010","9780511617997","9781107403758","27-10-2011","9780521863001","19-10-2006","Cambridge Studies in Advanced Mathematics","Probability theory and stochastic processes","Abstract analysis","https://www.cambridge.org/core/books/markov-processes-gaussian-processes-and-local-times/CB2E6530BFDBEB810A0D7E5288BBD48B"
"Martingales in Banach Spaces","","Gilles Pisier, Texas A &amp; M University","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781316480588","05-06-2016","9781316480588","","","9781107137240","09-06-2016","Cambridge Studies in Advanced Mathematics","Abstract analysis","","https://www.cambridge.org/core/books/martingales-in-banach-spaces/A72C7511C60257C8ECC4A4ECADF91E9C"
"Mathematical Aspects of Quantum Field Theory","","Edson de Faria, Universidade de S?o Paulo; Welington de Melo, IMPA, Rio de Janeiro","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511760532","05-03-2013","9780511760532","","","9780521115773","12-08-2010","Cambridge Studies in Advanced Mathematics","Mathematical physics","Theoretical physics and mathematical physics","https://www.cambridge.org/core/books/mathematical-aspects-of-quantum-field-theory/5D81B203FF41825AA64CE02CBE2AA757"
"Mathematical Tools for One-Dimensional Dynamics","","Edson de Faria, Universidade de S?o Paulo; Welington de Melo, IMPA, Rio de Janeiro","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511755231","06-07-2010","9780511755231","","","9780521888615","02-10-2008","Cambridge Studies in Advanced Mathematics","Differential and integral equations, dynamical systems and control","Real and complex analysis","https://www.cambridge.org/core/books/mathematical-tools-for-onedimensional-dynamics/C580F324B902D818AFD2E78FAFF10265"
"Models and Games","","Jouko Vaananen","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511974885","01-06-2011","9780511974885","","","9780521518123","05-05-2011","Cambridge Studies in Advanced Mathematics","Logic, categories and sets","Discrete mathematics, information theory and coding theory","https://www.cambridge.org/core/books/models-and-games/E5172AD77B07EC7DEAC41A0714EC5ABF"
"Modern Analysis of Automorphic Forms By Example","","Paul Garrett, University of Minnesota","1","2","","Cambridge University Press","","30-04-2018","9781108571814","","","9781108473842","31-12-2018","Cambridge Studies in Advanced Mathematics","Number theory","","https://www.cambridge.org/core/books/modern-analysis-of-automorphic-forms-by-example/8A2076ECFD1A8A4BA4E68768990EEF54"
"Modern Analysis of Automorphic Forms By Example","","Paul Garrett, University of Minnesota","1","1","","Cambridge University Press","","30-04-2018","9781316650332","","","9781107154001","30-09-2018","Cambridge Studies in Advanced Mathematics","Number theory","","https://www.cambridge.org/core/books/modern-analysis-of-automorphic-forms-by-example/AE39DC739A81E3ECFB9D0780178EC536"
"Modular Forms and Galois Cohomology","","Haruzo Hida, University of California, Los Angeles","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511526046","18-12-2009","9780511526046","9780521072083","14-08-2008","9780521770361","29-06-2000","Cambridge Studies in Advanced Mathematics","Number theory","","https://www.cambridge.org/core/books/modular-forms-and-galois-cohomology/23644091EA36ED9B16097438E1A15C69"
"Multidimensional Real Analysis I","Differentiation","J. J. Duistermaat, Universiteit Utrecht, The Netherlands; J. A. C. Kolk, Universiteit Utrecht, The Netherlands; J. P. van Braam Houckgeest","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511616716","11-01-2010","9780511616716","","","9780521551144","06-05-2004","Cambridge Studies in Advanced Mathematics","Real and complex analysis","","https://www.cambridge.org/core/books/multidimensional-real-analysis-i/3571CF78491A53C281FB72A07A55970F"
"Multidimensional Real Analysis II","Integration","J. J. Duistermaat, Universiteit Utrecht, The Netherlands; J. A. C. Kolk, Universiteit Utrecht, The Netherlands; J. P. van Braam Houckgeest","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511616723","21-12-2009","9780511616723","","","9780521829250","06-05-2004","Cambridge Studies in Advanced Mathematics","Real and complex analysis","","https://www.cambridge.org/core/books/multidimensional-real-analysis-ii/40569A7E17929121FB43EA362BAB3C4A"
"Multidimensional Stochastic Processes as Rough Paths","Theory and Applications","Peter K. Friz, University of Cambridge; Nicolas B. Victoir","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511845079","05-06-2012","9780511845079","","","9780521876070","04-02-2010","Cambridge Studies in Advanced Mathematics","Probability theory and stochastic processes","Differential and integral equations, dynamical systems and control","https://www.cambridge.org/core/books/multidimensional-stochastic-processes-as-rough-paths/DD9063039477D9A21F571861A5BB5D53"
"Multiplicative Number Theory I","Classical Theory","Hugh L. Montgomery, University of Michigan, Ann Arbor; Robert C. Vaughan, Pennsylvania State University","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511618314","26-02-2010","9780511618314","9781107405820","26-07-2012","9780521849036","16-11-2006","Cambridge Studies in Advanced Mathematics","Number theory","","https://www.cambridge.org/core/books/multiplicative-number-theory-i/4E45519B26115AEEA4839C6C38206ACD"
"Nonlinear Analysis and Semilinear Elliptic Problems","","Antonio Ambrosetti; Andrea Malchiodi","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511618260","19-05-2010","9780511618260","","","9780521863209","04-01-2007","Cambridge Studies in Advanced Mathematics","Differential and integral equations, dynamical systems and control","Mathematical modelling and methods","https://www.cambridge.org/core/books/nonlinear-analysis-and-semilinear-elliptic-problems/BA9EDE864C141CBF9460DC9C6664127E"
"Optimal Control and Geometry: Integrable Systems","","Velimir Jurdjevic, University of Toronto","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781316286852","05-05-2016","9781316286852","","","9781107113886","14-07-2016","Cambridge Studies in Advanced Mathematics","Differential and integral equations, dynamical systems and control","","https://www.cambridge.org/core/books/optimal-control-and-geometry-integrable-systems/CC31021688A0E5B6196C3BD911EF021F"
"p-adic Differential Equations","","Kiran S. Kedlaya, Massachusetts Institute of Technology","1","","","Cambridge University Press","","05-08-2012","9780511750922","","","9780521768795","10-06-2010","Cambridge Studies in Advanced Mathematics","Number theory","","https://www.cambridge.org/core/books/padic-differential-equations/FDB6B3CBADE58F2A6513EE127D5D894B"
"Partial Differential Equations for Probabilists","","Daniel W. Stroock, Massachusetts Institute of Technology","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511755255","06-07-2010","9780511755255","9781107400528","02-08-2012","9780521886512","29-05-2008","Cambridge Studies in Advanced Mathematics","Probability theory and stochastic processes","","https://www.cambridge.org/core/books/partial-differential-equations-for-probabilists/30BB576097CF5ECF7914FDBCAF69E1F2"
"Period Mappings and Period Domains","","James Carlson, University of Utah; Stefan Muller-Stach, Johannes Gutenberg Universitat Mainz, Germany; Chris Peters","2","","","Cambridge University Press","https://doi.org/10.1017/9781316995846","30-08-2017","9781316995846","9781316639566","24-08-2017","9781108422628","24-08-2017","Cambridge Studies in Advanced Mathematics","Topology and geometry","Real and complex analysis","https://www.cambridge.org/core/books/period-mappings-and-period-domains/6D9B4C35EB9BC1B5772EEF8F9040CB86"
"Positive Harmonic Functions and Diffusion","","Ross G. Pinsky","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511526244","02-12-2009","9780511526244","9780521059831","24-04-2008","9780521470148","12-01-1995","Cambridge Studies in Advanced Mathematics","Abstract analysis","Probability theory and stochastic processes","https://www.cambridge.org/core/books/positive-harmonic-functions-and-diffusion/3A10D27C2083EA31A449E9EE57B3F3FF"
"Quantum Fields and Processes","A Combinatorial Approach","John Gough, Aberystwyth University; Joachim Kupsch, Technische Universitat Kaiserslautern, Germany","1","","","Cambridge University Press","https://doi.org/10.1017/9781108241885","23-03-2018","9781108241885","","","9781108416764","12-04-2018","Cambridge Studies in Advanced Mathematics","Probability theory and stochastic processes","Discrete mathematics, information theory and coding theory","https://www.cambridge.org/core/books/quantum-fields-and-processes/BEA850C1E0F6B531761E7F0AFEF6F209"
"Quasiconformal Surgery in Holomorphic Dynamics","","Bodil Branner, Technical University of Denmark, Lyngby; Núria Fagella, Universitat de Barcelona","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781107337602","05-02-2014","9781107337602","","","9781107042919","23-01-2014","Cambridge Studies in Advanced Mathematics","Real and complex analysis","Differential and integral equations, dynamical systems and control","https://www.cambridge.org/core/books/quasiconformal-surgery-in-holomorphic-dynamics/389FFF55E696E1758A4506BD545BFA0E"
"Random Fragmentation and Coagulation Processes","","Jean Bertoin, Universite de Paris VI (Pierre et Marie Curie)","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511617768","07-12-2009","9780511617768","","","9780521867283","10-08-2006","Cambridge Studies in Advanced Mathematics","Probability theory and stochastic processes","Mathematical modelling and methods","https://www.cambridge.org/core/books/random-fragmentation-and-coagulation-processes/13602421D7CA936470DAC6080CDF20F8"
"Random Graphs","","Bela Bollobás, Trinity College, Cambridge and University of Memphis","2","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511814068","29-03-2011","9780511814068","9780521797221","30-08-2001","9780521809207","30-08-2001","Cambridge Studies in Advanced Mathematics","Discrete mathematics, information theory and coding theory","","https://www.cambridge.org/core/books/random-graphs/E21023008001CFA182CE666F5028489F"
"Random Walk: A Modern Introduction","","Gregory F. Lawler, University of Chicago; Vlada Limic, Universite de Provence","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511750854","05-06-2012","9780511750854","","","9780521519182","24-06-2010","Cambridge Studies in Advanced Mathematics","Probability theory and stochastic processes","Mathematical modelling and methods","https://www.cambridge.org/core/books/random-walk-a-modern-introduction/7DA2A372B5FE450BB47C5DBD43D460D2"
"Rational and Nearly Rational Varieties","","János Kollár, Princeton University, New Jersey; Karen E. Smith, University of Michigan, Ann Arbor; Alessio Corti, University of Cambridge","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511734991","25-05-2010","9780511734991","","","9780521832076","22-04-2004","Cambridge Studies in Advanced Mathematics","Topology and geometry","","https://www.cambridge.org/core/books/rational-and-nearly-rational-varieties/FBA6C7E69CB463875B05238D4FC9180F"
"Real Analysis and Probability","","R. M. Dudley, Massachusetts Institute of Technology","2","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511755347","06-07-2010","9780511755347","9780521007542","17-10-2002","9780521809726","17-10-2002","Cambridge Studies in Advanced Mathematics","Probability theory and stochastic processes","Real and complex analysis","https://www.cambridge.org/core/books/real-analysis-and-probability/26DDF2D09E526185F2347AA5658B96F6"
"Reflection Groups and Coxeter Groups","","James E. Humphreys, University of Massachusetts, Amherst","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511623646","05-06-2012","9780511623646","9780521436137","01-10-1992","","","Cambridge Studies in Advanced Mathematics","Algebra","Topology and geometry","https://www.cambridge.org/core/books/reflection-groups-and-coxeter-groups/2910C1E00877D33A04A512791B6EDD72"
"Representation Theory","A Combinatorial Viewpoint","Amritanshu Prasad","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781139976824","18-12-2014","9781139976824","","","9781107082052","05-02-2015","Cambridge Studies in Advanced Mathematics","Algebra","Discrete mathematics, information theory and coding theory","https://www.cambridge.org/core/books/representation-theory/6ED4685D532DDE90E37B6F08AB7925F9"
"Representation Theory of Artin Algebras","","Maurice Auslander, Brandeis University, Massachusetts; Idun Reiten, Kunstakademiet i Trondheim, Norway; Sverre O. Smalo, Kunstakademiet i Trondheim, Norway","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511623608","11-05-2010","9780511623608","9780521599238","21-08-1997","","","Cambridge Studies in Advanced Mathematics","Algebra","","https://www.cambridge.org/core/books/representation-theory-of-artin-algebras/B7452F28EDADF450BF1059A6FB6D68A4"
"Representation Theory of the Symmetric Groups","The Okounkov-Vershik Approach, Character Formulas, and Partition Algebras","Tullio Ceccherini-Silberstein; Fabio Scarabotti, Universita degli Studi di Roma 'La Sapienza', Italy; Filippo Tolli, Universita degli Studi Roma Tre, Italy","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781139192361","05-03-2013","9781139192361","","","9780521118170","04-02-2010","Cambridge Studies in Advanced Mathematics","Algebra","","https://www.cambridge.org/core/books/representation-theory-of-the-symmetric-groups/5210396B7CF3C4C958DEE321EB659215"
"Representations and Cohomology","","D. J. Benson, University of Georgia","1","1","","Cambridge University Press","https://doi.org/10.1017/CBO9780511623615","26-01-2010","9780511623615","9780521636537","18-06-1998","9780521361347","21-03-1991","Cambridge Studies in Advanced Mathematics","Algebra","Number theory","https://www.cambridge.org/core/books/representations-and-cohomology/9EE67E1280D8DB01AAC662530799AA8E"
"Representations and Cohomology","","D. J. Benson, University of Georgia","1","2","","Cambridge University Press","https://doi.org/10.1017/CBO9780511623622","03-02-2010","9780511623622","9780521636520","18-06-1998","","","Cambridge Studies in Advanced Mathematics","Algebra","Number theory","https://www.cambridge.org/core/books/representations-and-cohomology/2AC807F212FE24AE71E6ADC70949E81A"
"Representations of Groups","A Computational Approach","Klaus Lux, University of Arizona; Herbert Pahlings","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511750915","05-06-2012","9780511750915","","","9780521768078","01-07-2010","Cambridge Studies in Advanced Mathematics","Algebra","","https://www.cambridge.org/core/books/representations-of-groups/9EF74E145F6DE62ACD6047953B09CCBB"
"Representations of the Infinite Symmetric Group","","Alexei Borodin, Massachusetts Institute of Technology; Grigori Olshanski","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781316798577","24-11-2016","9781316798577","","","9781107175556","27-10-2016","Cambridge Studies in Advanced Mathematics","Algebra","Theoretical physics and mathematical physics","https://www.cambridge.org/core/books/representations-of-the-infinite-symmetric-group/393CB89CD4A07B2A34695BFE5F3E2392"
"Riemannian Geometry","A Modern Introduction","Isaac Chavel, City College, City University of New York","2","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511616822","12-01-2010","9780511616822","9780521619547","06-07-2006","9780521853682","06-07-2006","Cambridge Studies in Advanced Mathematics","Topology and geometry","","https://www.cambridge.org/core/books/riemannian-geometry/C36EC6F520E74EE4ABE55E968C2FECFC"
"Sets of Finite Perimeter and Geometric Variational Problems","An Introduction to Geometric Measure Theory","Francesco Maggi, Universita degli Studi di Firenze, Italy","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9781139108133","05-10-2012","9781139108133","","","9781107021037","09-08-2012","Cambridge Studies in Advanced Mathematics","Abstract analysis","","https://www.cambridge.org/core/books/sets-of-finite-perimeter-and-geometric-variational-problems/F8D0DABFFFB0D444C5AD5D37B3E3DBC1"
"Soliton Equations and Their Algebro-Geometric Solutions","","Fritz Gesztesy, University of Missouri, Columbia; Helge Holden, Norwegian University of Science and Technology, Trondheim; Johanna Michor, Universitat Wien, Austria; Gerald Teschl, Universitat Wien, Austria","1","2","","Cambridge University Press","https://doi.org/10.1017/CBO9780511543203","11-01-2010","9780511543203","","","9780521753081","04-09-2008","Cambridge Studies in Advanced Mathematics","Differential and integral equations, dynamical systems and control","Mathematical physics","https://www.cambridge.org/core/books/soliton-equations-and-their-algebrogeometric-solutions/444985FF5EB231A3101AEBE8DEDAFB2B"
"Soliton Equations and their Algebro-Geometric Solutions","","Fritz Gesztesy, University of Missouri, Columbia; Helge Holden, Norwegian University of Science and Technology, Trondheim","1","1","","Cambridge University Press","https://doi.org/10.1017/CBO9780511546723","23-12-2009","9780511546723","","","9780521753074","05-06-2003","Cambridge Studies in Advanced Mathematics","Differential and integral equations, dynamical systems and control","Mathematical physics","https://www.cambridge.org/core/books/soliton-equations-and-their-algebrogeometric-solutions/0239D84F9561EB2BFA452BAAE4B0B686"
"Special Functions","A Graduate Text","Richard Beals, Yale University, Connecticut; Roderick Wong, City University of Hong Kong","1","","","Cambridge University Press","https://doi.org/10.1017/CBO9780511762543","05-06-2012","9780511762543","","","9780521197977","12-08-2010","Cambridge Studies in Advanced Mathematics","Real and complex analysis","","https://www.cambridge.org/core/books/special-functions/A0E697B24555D5E56B0FDC1CD9101DE1"
